id,id_kel,ID_KEL.1,Nama_provinsi,nama_kota,nama_kecamatan,nama_kelurahan,GID_2,GID_4,Demand,Wasted,Local_stock,Inflow,Outflow2,tanggal,bulan
0,1,3172051003,DKI JAKARTA,JAKARTA UTARA,PADEMANGAN,Ancol,IDN.7.5_1,IDN.7.5.5.1_1,1860,2,1802,27,29,01/09/2021,September
1,1,3172051003,DKI JAKARTA,JAKARTA UTARA,PADEMANGAN,Ancol,IDN.7.5_1,IDN.7.5.5.1_1,1779,8,1710,26,35,02/08/2021,August
2,1,3172051003,DKI JAKARTA,JAKARTA UTARA,PADEMANGAN,Ancol,IDN.7.5_1,IDN.7.5.5.1_1,1862,2,1805,27,28,02/09/2021,September
3,1,3172051003,DKI JAKARTA,JAKARTA UTARA,PADEMANGAN,Ancol,IDN.7.5_1,IDN.7.5.5.1_1,1778,7,1711,27,33,03/08/2021,August
4,1,3172051003,DKI JAKARTA,JAKARTA UTARA,PADEMANGAN,Ancol,IDN.7.5_1,IDN.7.5.5.1_1,1863,1,1808,27,27,03/09/2021,September
5,1,3172051003,DKI JAKARTA,JAKARTA UTARA,PADEMANGAN,Ancol,IDN.7.5_1,IDN.7.5.5.1_1,1781,6,1721,27,27,04/08/2021,August
6,1,3172051003,DKI JAKARTA,JAKARTA UTARA,PADEMANGAN,Ancol,IDN.7.5_1,IDN.7.5.5.1_1,1865,1,1809,27,28,04/09/2021,September
7,1,3172051003,DKI JAKARTA,JAKARTA UTARA,PADEMANGAN,Ancol,IDN.7.5_1,IDN.7.5.5.1_1,1785,4,1728,27,26,05/08/2021,August
8,1,3172051003,DKI JAKARTA,JAKARTA UTARA,PADEMANGAN,Ancol,IDN.7.5_1,IDN.7.5.5.1_1,1867,1,1810,27,29,05/09/2021,September
9,1,3172051003,DKI JAKARTA,JAKARTA UTARA,PADEMANGAN,Ancol,IDN.7.5_1,IDN.7.5.5.1_1,1792,2,1748,27,15,06/08/2021,August
10,1,3172051003,DKI JAKARTA,JAKARTA UTARA,PADEMANGAN,Ancol,IDN.7.5_1,IDN.7.5.5.1_1,1868,1,1810,27,30,06/09/2021,September
11,1,3172051003,DKI JAKARTA,JAKARTA UTARA,PADEMANGAN,Ancol,IDN.7.5_1,IDN.7.5.5.1_1,1793,2,1751,27,13,07/08/2021,August
12,1,3172051003,DKI JAKARTA,JAKARTA UTARA,PADEMANGAN,Ancol,IDN.7.5_1,IDN.7.5.5.1_1,1872,1,1811,27,33,07/09/2021,September
13,1,3172051003,DKI JAKARTA,JAKARTA UTARA,PADEMANGAN,Ancol,IDN.7.5_1,IDN.7.5.5.1_1,1800,1,1754,27,18,08/08/2021,August
14,1,3172051003,DKI JAKARTA,JAKARTA UTARA,PADEMANGAN,Ancol,IDN.7.5_1,IDN.7.5.5.1_1,1875,2,1818,27,28,08/09/2021,September
15,1,3172051003,DKI JAKARTA,JAKARTA UTARA,PADEMANGAN,Ancol,IDN.7.5_1,IDN.7.5.5.1_1,1801,2,1754,27,18,09/08/2021,August
16,1,3172051003,DKI JAKARTA,JAKARTA UTARA,PADEMANGAN,Ancol,IDN.7.5_1,IDN.7.5.5.1_1,1877,2,1824,27,24,09/09/2021,September
17,1,3172051003,DKI JAKARTA,JAKARTA UTARA,PADEMANGAN,Ancol,IDN.7.5_1,IDN.7.5.5.1_1,1804,3,1754,27,20,10/08/2021,August
18,1,3172051003,DKI JAKARTA,JAKARTA UTARA,PADEMANGAN,Ancol,IDN.7.5_1,IDN.7.5.5.1_1,1877,2,1827,27,21,10/09/2021,September
19,1,3172051003,DKI JAKARTA,JAKARTA UTARA,PADEMANGAN,Ancol,IDN.7.5_1,IDN.7.5.5.1_1,1810,2,1760,27,21,11/08/2021,August
20,1,3172051003,DKI JAKARTA,JAKARTA UTARA,PADEMANGAN,Ancol,IDN.7.5_1,IDN.7.5.5.1_1,1879,2,1828,27,22,11/09/2021,September
21,1,3172051003,DKI JAKARTA,JAKARTA UTARA,PADEMANGAN,Ancol,IDN.7.5_1,IDN.7.5.5.1_1,1810,2,1761,27,20,12/08/2021,August
22,1,3172051003,DKI JAKARTA,JAKARTA UTARA,PADEMANGAN,Ancol,IDN.7.5_1,IDN.7.5.5.1_1,1881,2,1830,27,22,12/09/2021,September
23,1,3172051003,DKI JAKARTA,JAKARTA UTARA,PADEMANGAN,Ancol,IDN.7.5_1,IDN.7.5.5.1_1,1812,2,1765,27,18,13/08/2021,August
24,1,3172051003,DKI JAKARTA,JAKARTA UTARA,PADEMANGAN,Ancol,IDN.7.5_1,IDN.7.5.5.1_1,1882,2,1833,27,20,13/09/2021,September
25,1,3172051003,DKI JAKARTA,JAKARTA UTARA,PADEMANGAN,Ancol,IDN.7.5_1,IDN.7.5.5.1_1,1816,3,1768,27,18,14/08/2021,August
26,1,3172051003,DKI JAKARTA,JAKARTA UTARA,PADEMANGAN,Ancol,IDN.7.5_1,IDN.7.5.5.1_1,1884,2,1836,27,19,14/09/2021,September
27,1,3172051003,DKI JAKARTA,JAKARTA UTARA,PADEMANGAN,Ancol,IDN.7.5_1,IDN.7.5.5.1_1,1818,4,1769,27,18,15/08/2021,August
28,1,3172051003,DKI JAKARTA,JAKARTA UTARA,PADEMANGAN,Ancol,IDN.7.5_1,IDN.7.5.5.1_1,1886,2,1836,27,21,15/09/2021,September
29,1,3172051003,DKI JAKARTA,JAKARTA UTARA,PADEMANGAN,Ancol,IDN.7.5_1,IDN.7.5.5.1_1,1820,4,1773,27,16,16/08/2021,August
30,1,3172051003,DKI JAKARTA,JAKARTA UTARA,PADEMANGAN,Ancol,IDN.7.5_1,IDN.7.5.5.1_1,1887,2,1838,27,20,16/09/2021,September
31,1,3172051003,DKI JAKARTA,JAKARTA UTARA,PADEMANGAN,Ancol,IDN.7.5_1,IDN.7.5.5.1_1,1822,4,1777,27,14,17/08/2021,August
32,1,3172051003,DKI JAKARTA,JAKARTA UTARA,PADEMANGAN,Ancol,IDN.7.5_1,IDN.7.5.5.1_1,1888,2,1840,27,19,17/09/2021,September
33,1,3172051003,DKI JAKARTA,JAKARTA UTARA,PADEMANGAN,Ancol,IDN.7.5_1,IDN.7.5.5.1_1,1826,6,1778,27,15,18/08/2021,August
34,1,3172051003,DKI JAKARTA,JAKARTA UTARA,PADEMANGAN,Ancol,IDN.7.5_1,IDN.7.5.5.1_1,1889,3,1841,27,18,18/09/2021,September
35,1,3172051003,DKI JAKARTA,JAKARTA UTARA,PADEMANGAN,Ancol,IDN.7.5_1,IDN.7.5.5.1_1,1826,5,1781,27,13,19/08/2021,August
36,1,3172051003,DKI JAKARTA,JAKARTA UTARA,PADEMANGAN,Ancol,IDN.7.5_1,IDN.7.5.5.1_1,1893,3,1846,27,17,19/09/2021,September
37,1,3172051003,DKI JAKARTA,JAKARTA UTARA,PADEMANGAN,Ancol,IDN.7.5_1,IDN.7.5.5.1_1,1829,6,1784,27,12,20/08/2021,August
38,1,3172051003,DKI JAKARTA,JAKARTA UTARA,PADEMANGAN,Ancol,IDN.7.5_1,IDN.7.5.5.1_1,1895,1,1848,27,19,20/09/2021,September
