GID_4,District,Municipality,County,State,Province,AQI,Level
1,3172051003,PADEMANGAN,Ancol,JAKARTA UTARA,DKI JAKARTA,76,Fair
2,3173041007,TAMBORA,Angke,JAKARTA BARAT,DKI JAKARTA,7,Good
3,3175041005,KRAMAT JATI,Bale Kambang,JAKARTA TIMUR,DKI JAKARTA,181,Poor
4,3175031003,JATINEGARA,Bali Mester,JAKARTA TIMUR,DKI JAKARTA,127,Poor
5,3175101006,CIPAYUNG,Bambu Apus,JAKARTA TIMUR,DKI JAKARTA,13,Good
6,3174031002,MAMPANG PRAPATAN,Bangka,JAKARTA SELATAN,DKI JAKARTA,203,Very Poor
7,3175051002,PASAR REBO,Baru,JAKARTA TIMUR,DKI JAKARTA,1,Good
8,3175041004,KRAMAT JATI,Batu Ampar,JAKARTA TIMUR,DKI JAKARTA,410,Hazardous
9,3171071002,TANAH ABANG,Bendungan Hilir,JAKARTA PUSAT,DKI JAKARTA,475,Hazardous
10,3175031002,JATINEGARA,Bidara Cina,JAKARTA TIMUR,DKI JAKARTA,191,Poor
11,3174101002,PESANGGRAHAN,Bintaro,JAKARTA SELATAN,DKI JAKARTA,306,Hazardous
12,3174011005,TEBET,Bukit Duri,JAKARTA SELATAN,DKI JAKARTA,266,Very Poor
13,3171041006,SENEN,Bungur,JAKARTA PUSAT,DKI JAKARTA,28,Good
14,3175061007,CAKUNG,Cakung Barat,JAKARTA TIMUR,DKI JAKARTA,181,Poor
15,3175061004,CAKUNG,Cakung Timur,JAKARTA TIMUR,DKI JAKARTA,373,Hazardous
16,3175041007,KRAMAT JATI,Cawang,JAKARTA TIMUR,DKI JAKARTA,33,Good
17,3175101008,CIPAYUNG,Ceger,JAKARTA TIMUR,DKI JAKARTA,487,Hazardous
118,3173011004,CENGKARENG,Kedaung Kali Angke,JAKARTA BARAT,DKI JAKARTA,53,Fair
50,3173011002,CENGKARENG,Duri Kosambi,JAKARTA BARAT,DKI JAKARTA,244,Very Poor
21,3173011001,CENGKARENG,Cengkareng Barat,JAKARTA BARAT,DKI JAKARTA,380,Hazardous
219,3173011003,CENGKARENG,Rawa Buaya,JAKARTA BARAT,DKI JAKARTA,161,Poor
22,3173011006,CENGKARENG,Cengkareng Timur,JAKARTA BARAT,DKI JAKARTA,82,Fair
94,3173011005,CENGKARENG,Kapuk,JAKARTA BARAT,DKI JAKARTA,277,Very Poor
62,3173021001,GROGOL PETAMBURAN,Grogol,JAKARTA BARAT,DKI JAKARTA,462,Hazardous
254,3173021002,GROGOL PETAMBURAN,Tanjung Duren Utara,JAKARTA BARAT,DKI JAKARTA,322,Hazardous
260,3173021003,GROGOL PETAMBURAN,Tomang,JAKARTA BARAT,DKI JAKARTA,333,Hazardous
253,3173021005,GROGOL PETAMBURAN,Tanjung Duren Selatan,JAKARTA BARAT,DKI JAKARTA,243,Very Poor
77,3173021004,GROGOL PETAMBURAN,Jelambar,JAKARTA BARAT,DKI JAKARTA,170,Poor
78,3173021006,GROGOL PETAMBURAN,Jelambar Baru,JAKARTA BARAT,DKI JAKARTA,98,Fair
88,3173061004,KALI DERES,Kamal,JAKARTA BARAT,DKI JAKARTA,470,Hazardous
228,3173061002,KALI DERES,Semanan,JAKARTA BARAT,DKI JAKARTA,332,Hazardous
174,3173061005,KALI DERES,Pegadungan,JAKARTA BARAT,DKI JAKARTA,76,Fair
86,3173061001,KALI DERES,Kalideres,JAKARTA BARAT,DKI JAKARTA,408,Hazardous
258,3173061003,KALI DERES,Tegal Alur,JAKARTA BARAT,DKI JAKARTA,256,Very Poor
239,3173051003,KEBON JERUK,Sukabumi Selatan,JAKARTA BARAT,DKI JAKARTA,151,Poor
121,3173051004,KEBON JERUK,Kelapa Dua,JAKARTA BARAT,DKI JAKARTA,228,Very Poor
119,3173051007,KEBON JERUK,Kedoya Selatan,JAKARTA BARAT,DKI JAKARTA,487,Hazardous
240,3173051002,KEBON JERUK,Sukabumi Utara,JAKARTA BARAT,DKI JAKARTA,444,Hazardous
110,3173051001,KEBON JERUK,Kebon Jeruk,JAKARTA BARAT,DKI JAKARTA,411,Hazardous
120,3173051006,KEBON JERUK,Kedoya Utara,JAKARTA BARAT,DKI JAKARTA,152,Poor
49,3173051005,KEBON JERUK,Duri Kepa,JAKARTA BARAT,DKI JAKARTA,60,Fair
127,3173081006,KEMBANGAN,Kembangan Selatan,JAKARTA BARAT,DKI JAKARTA,88,Fair
161,3173081003,KEMBANGAN,Meruya Selatan,JAKARTA BARAT,DKI JAKARTA,445,Hazardous
162,3173081002,KEMBANGAN,Meruya Utara,JAKARTA BARAT,DKI JAKARTA,295,Very Poor
81,3173081005,KEMBANGAN,Joglo,JAKARTA BARAT,DKI JAKARTA,413,Hazardous
237,3173081004,KEMBANGAN,Srengseng,JAKARTA BARAT,DKI JAKARTA,340,Hazardous
128,3173081001,KEMBANGAN,Kembangan Utara,JAKARTA BARAT,DKI JAKARTA,409,Hazardous
134,3173071003,PALMERAH,Kota Bambu Utara,JAKARTA BARAT,DKI JAKARTA,431,Hazardous
133,3173071006,PALMERAH,Kota Bambu Selatan,JAKARTA BARAT,DKI JAKARTA,8,Good
236,3173071002,PALMERAH,Slipi,JAKARTA BARAT,DKI JAKARTA,267,Very Poor
74,3173071004,PALMERAH,Jati Pulo,JAKARTA BARAT,DKI JAKARTA,167,Poor
125,3173071005,PALMERAH,Kemanggisan,JAKARTA BARAT,DKI JAKARTA,22,Good
167,3173071001,PALMERAH,Palmerah,JAKARTA BARAT,DKI JAKARTA,81,Fair
60,3173031007,TAMAN SARI,Glodok,JAKARTA BARAT,DKI JAKARTA,139,Poor
194,3173031008,TAMAN SARI,Pinangsia,JAKARTA BARAT,DKI JAKARTA,299,Very Poor
151,3173031005,TAMAN SARI,Mangga Besar,JAKARTA BARAT,DKI JAKARTA,154,Poor
251,3173031004,TAMAN SARI,Tangki,JAKARTA BARAT,DKI JAKARTA,81,Fair
104,3173031006,TAMAN SARI,Keagungan,JAKARTA BARAT,DKI JAKARTA,53,Fair
138,3173031002,TAMAN SARI,Krukut,JAKARTA BARAT,DKI JAKARTA,49,Good
155,3173031003,TAMAN SARI,Maphar,JAKARTA BARAT,DKI JAKARTA,417,Hazardous
247,3173031001,TAMAN SARI,Taman Sari,JAKARTA BARAT,DKI JAKARTA,34,Good
225,3173041010,TAMBORA,Roa Malaka,JAKARTA BARAT,DKI JAKARTA,437,Hazardous
53,3173041003,TAMBORA,Duri Utara,JAKARTA BARAT,DKI JAKARTA,223,Very Poor
52,3173041011,TAMBORA,Duri Selatan,JAKARTA BARAT,DKI JAKARTA,401,Hazardous
248,3173041001,TAMBORA,Tambora,JAKARTA BARAT,DKI JAKARTA,21,Good
80,3173041008,TAMBORA,Jembatan Lima,JAKARTA BARAT,DKI JAKARTA,113,Poor
79,3173041006,TAMBORA,Jembatan Besi,JAKARTA BARAT,DKI JAKARTA,26,Good
